"title","authors","year_published","type","total_citations","2020","2021","2022","2023","2024","2025","2026","matched_keywords","matched_go_words","source_syllabi"
"How Architects Write","Rebecca Damron","2013","book","1","1","0","0","0","0","0","0","","","2020cprize-07"
"How Architectural Innovations Migrate Across the Borders","T. Cruz","2013","website","1","0","0","1","0","0","0","0","","","2022cprize-23"
"How Blackouts during Heat Waves Amplify Mortality and Morbidity Risk","Brian Stone Jr.; et al.","2023","article","1","0","0","0","0","1","0","0","","risk, heat","2024cprize-24"
"How Cities Think: Knowledge Co-Production for Urban Sustainability and Resilience","Tischa Munoz-Erickson; Clark A. Miller; Thaddeus R. Miller","2017","article","1","1","0","0","0","0","0","0","sustainable, resilience","knowledge, sustainability, urban","2020cprize-58"
"How Civil Rights Wade-Ins Desegregated Southern Beaches","E. Blakemore","2019","website","1","0","0","1","0","0","0","0","","","2022cprize-23"
"How does urbanization affect biodiversity?","Sam Hardman","2011","article","1","1","0","0","0","0","0","0","","","2020cprize-58"
"How Fair Is Our Air? The Injustice of Procedure, Distribution, and Recognition within the Discourse of Air Pollution in Delhi, India","Bhavna Joshi; Pradip Swarnakar","","article","1","0","0","0","0","0","1","0","","injustice, air","2025cprize-35"
"How Great Architecture Still Was in 1966 (Superstudio and Radical Architecture, Ten Years On) (in Exit Utopia)","Adolfo Natalini","2005","chapter","1","0","1","0","0","0","0","0","","radical, architecture","2021cprize-18"
"How Humans Sank New Orleans","Richard Campanella","2018","article","1","1","0","0","0","0","0","0","","","2020cprize-36"
"How Like a Reef: Figuring Coral, 1839–2010","Stefan Helmreich","","chapter","1","0","0","0","0","0","0","1","","","2026cprize-48"
"How Neighborhoods Make Us Sick: Restoring Health and Wellness to Our Communities","Veronica Squires; Breanna Lathrop","","book","1","0","1","0","0","0","0","0","community, health","make","2021cprize-50"
"How new is the Green New Deal for the Global South","Vijay Kolinjivadi; Ashish Kothari","","article","1","0","1","0","0","0","0","0","global","global","2021cprize-02"
"How Redlining Segregated Philadelphia","Next City","2017","article","1","0","1","0","0","0","0","0","","","2021cprize-27"
"How to Be a Good Creature","S. Montgomery","2018","book","1","0","0","0","0","1","0","0","","","2024cprize-41"
"How to Build a City, Roman Operating System","Amale Andraos","2000","chapter","1","1","0","0","0","0","0","0","systems","system, build, city","2020cprize-54"
"How to define (net) zero greenhouse gas emissions buildings: The results of an international survey as part of IEA EBC annex 72","D. Satola; M. Balouktsi; T. Lützkendorf; A. Houlihan Wiberg; A. Gustavsen","2021","article","1","0","0","0","0","0","0","1","","international, emissions","2026cprize-12"
"How to Do Things with Space: Expanded Architecture and Nongovernmental Politics: An Interview with Laura Kurgan","Yates McKee","2012","article","1","0","0","0","1","0","0","0","","space, architecture","2023cprize-29"
"How to Hide an Empire: Geography, Territory, and Power in the Greater United States","D. Immerwahr","2019","book","1","0","0","0","1","0","0","0","","territory","2023cprize-34"
"How to Level a Foundation","","2017","book","1","0","0","1","0","0","0","0","","","2022cprize-10"
"How to Lie with Maps","Mark Monmonier","1991","book","1","1","0","0","0","0","0","0","","","2020cprize-54"
"How to Read Architecture: An Introduction to Interpreting the Built Environment","Paulette Singley","","book","1","0","1","0","0","0","0","0","environmental","architecture","2021cprize-53"
"How to transform sinking cities into landscapes that fight floods","Kotchakorn Voraakhom","","other","1","1","0","0","0","0","0","0","","landscape","2020cprize-38"
"How Trees Talk to Each Other","Suzanne Simard","","other","1","0","0","0","0","0","1","0","","","2025cprize-22"
"Howard University Sustainability Master Plan","Howard University","","report","1","1","0","0","0","0","0","0","sustainable","plan, sustainability","2020cprize-69"
"Human Agency, Climate Change, and Culture: An Archaeological Perspective","F. A. Hassan","2016","chapter","1","0","1","0","0","0","0","0","climate, change, human","human, climate, culture, change, agency","2021cprize-63"
"Human Aspects of Urban Form","Amos Rapoport","","book","1","0","1","0","0","0","0","0","human","human, urban","2021cprize-12"
"Human Extinction and the Pandemic Imaginary","Christos Lynteris","2019","book","1","0","0","0","1","0","0","0","human","human","2023cprize-12"
"Human Spaces: The Global Impact of Biophilic Design in the Workplace","Bill Browning; Cary Cooper","2015","report","1","0","1","0","0","0","0","0","global, human, impact","human, global, design","2021cprize-40"
"Human Sustainable Urbanism: In Pursuit of Ecological and Social-Cultural Sustainability","Derya Oktay","2011","article","1","1","0","0","0","0","0","0","sustainable, human, ecological","social, human, ecological, culture, sustainability","2020cprize-58"
"Humanists as Builders","","2018","article","1","0","1","0","0","0","0","0","","","2021cprize-10"
"Humanization","Michelle Maiese","2003","website","1","0","0","0","0","0","1","0","","","2025cprize-25"
"Hungry City: How Food Shapes Our Lives","Carolyn Steel","2013","book","1","0","0","0","0","1","0","0","","food, city","2024cprize-11"
"Hurricane Harvey's Aftermath: Place, Race, and Inequality in Disaster Recovery","Kevin M. Fitzpatrick; Matthew L. Spialek","2020","book","1","0","0","0","0","0","1","0","","disaster, place, race","2025cprize-35"
"Hybrid Factory, Hybrid City","Nina Rappaport","2023","book","1","0","0","0","0","0","1","0","","city","2025cprize-26"
"Hybrid Intelligence in Architectural Robotic Materialization (HI-ARM): Computational, Fabrication and Material Intelligence for Multi-Mode Robotic Production of Multi-Scale and Multi-Material Systems","S. Mostafavi","2021","book","1","0","0","0","0","1","0","0","systems, material","material, fabrication, system, intelligence, computation","2024cprize-37"
"Hydrofeminism: Or, On Becoming a Body of Water","A. Neimanis","2012","chapter","1","0","0","1","0","0","0","0","","water","2022cprize-22"
"Hydrological basemaps and watershed datasets","HydroSHEDS","","website","1","0","0","0","0","0","0","1","","","2026cprize-51"
"Hydronic System and Method for Heating and Cooling a Building","A. Tsamis; T. Borca; Y. Hwang","2024","other","1","0","0","0","0","0","0","1","systems","building, system","2026cprize-66"
"Hypernatural: Architecture's New Relationship with Nature","Blaine Brownell; Marc Swackhamer","2015","book","1","0","1","0","0","0","0","0","nature","architecture","2021cprize-47"
"Hyperobjects","Timothy Morton","2012","book","1","0","0","0","1","0","0","0","","","2023cprize-05"
"Hyposubjects","Timothy Morton; Dominic Boyer","","book","1","0","1","0","0","0","0","0","","","2021cprize-02"
"Högbergsgatan with Doctor Levin","Josabeth Sjöberg","1870","other","1","0","0","1","0","0","0","0","","","2022cprize-28"
"I Want to Become Architecture","Allan Wexler","2002","other","1","0","0","1","0","0","0","0","","architecture","2022cprize-28"
"Iatrogenic Architecture: Unreliable Narratives of Sustainability","Kiel Moe","2015","article","1","1","0","0","0","0","0","0","sustainable","sustainability, architecture","2020cprize-67"
"ICC A117.1 Accessible and Usable Buildings and Facilities","ICC","2009","report","1","1","0","0","0","0","0","0","","","2020cprize-50"
"Ideas and Integrities: A Spontaneous Autobiographical Disclosure","Richard Buckminster Fuller; Jaime Snyder","","book","1","0","0","0","0","1","0","0","","","2024cprize-42"
"Identity Production in Postcolonial Indian Architecture: Re-Covering What We Never Had","Vikramaditya Prakash","1997","chapter","1","0","0","1","0","0","0","0","","architecture","2022cprize-20"
"IESNA Lighting Ready Reference: A Compendium of Materials from the IESNA Lighting Handbook, 9th Edition: Lighting Fundamentals","R. Harrold; D. Mennie","2003","book","1","0","1","0","0","0","0","0","material","material","2021cprize-11"
"If toxic air is a monument to slavery, how do we take it down?","Forensic Architecture","2021","other","1","0","0","0","1","0","0","0","","air","2023cprize-14"
"Illinois: A History of the Land and Its People","Roger Biles","","book","1","0","0","1","0","0","0","0","","land, history","2022cprize-19"
"Illustrated Guideline on Sustainability for Rehabilitating Historic Buildings","National Parks Service","2013","report","1","0","1","0","0","0","0","0","sustainable","sustainability","2021cprize-29"
"Imaginaries of Resilience","Lizzie Yarina","2024","chapter","1","0","0","0","0","0","1","0","resilience","","2025cprize-18"
"Imaginary Landscapes","Georg Bohle","2012","other","1","0","0","1","0","0","0","0","","landscape","2022cprize-28"
"Imagination: A Manifesto","Ruha Benjamin","2024","book","1","0","0","0","0","0","1","0","","","2025cprize-31"
"Imagine Boston 2030","","","website","1","1","0","0","0","0","0","0","","","2020cprize-66"
"Imaging Terra Incognita: The Disciplinary Gaze of Empire","Ella Shohat","1991","article","1","0","0","0","0","1","0","0","","","2024cprize-05"
"Imagining and Making the World: Reconsidering Architecture and Utopia","N. Coleman (Ed.)","2011","book","1","0","0","0","1","0","0","0","world","world, architecture","2023cprize-12"
"Imagining Retreat","Rosetta S. Elkin","2019","chapter","1","1","0","0","0","0","0","0","","","2020cprize-62"
"Imagining the Future of Climate Change: World Making through Science Fiction and Activism","Shelly Streeby","2018","book","1","0","0","0","0","0","0","1","climate, change, future, world, science","science, world, climate, change, future","2026cprize-15"
"Imagining the Modern: Architecture and Urbanism of the Pittsburgh Renaissance","Michael Kubo","2019","book","1","0","1","0","0","0","0","0","","architecture","2021cprize-43"
"Imago Mundi V. Gold Silver Map","Adriana Bustos","2014","other","1","0","0","1","0","0","0","0","","map","2022cprize-28"
"Immaterial Labor","Maurizio Lazzarato","1996","chapter","1","1","0","0","0","0","0","0","","labor","2020cprize-46"
"Imminent Commons: The Expanded City","Alejandro Zaera; Jeffrey S. Anderson","","book","1","1","0","0","0","0","0","0","","city","2020cprize-51"
"Impact and collective empathy","Dana Cupkova; E. Kripa; L. Vasey","2020","article","1","0","1","0","0","0","0","0","impact","","2021cprize-14"
"Impact Assessment Agency of Canada","Government of Canada","2021","website","1","0","0","1","0","0","0","0","impact","agency","2022cprize-31"
"Impact of Climate Change in Houston TX: Resilient Residential Buildings and Equitable Design","R. Montelli; M. Kyropoulou","2022","other","1","0","0","0","1","0","0","0","climate, change, impact","climate, resiliency, change, design","2023cprize-28"
"Impact of Climate Change: Thermal and Energy Performance of Facade Types in Different Climates","A. Aksamija; T. Peters","2016","other","1","0","1","0","0","0","0","0","climate, change, energy, impact","energy, performance, climate, change","2021cprize-01"
"Impact of Contour on Aesthetic Judgments and Approach–Avoidance Decisions in Architecture","Oshin Vartanian; Amir V. Navarrete; Anjan Chatterjee; Martin Skov; Dirk B. Walther","2013","article","1","0","0","0","0","0","0","1","impact","architecture","2026cprize-43"
"Impact of Occupants' Demographics on Indoor Environmental Quality Satisfaction in the Workplace","S. Bae; A.O. Asojo; C.S. Martin","2019","article","1","0","1","0","0","0","0","0","environmental, impact","","2021cprize-40"
"Impact of Retrofitting Energy-Efficient Design Strategies on Energy Use of Existing Commercial Buildings: Comparative Study of Low-Impact and Deep Retrofit Strategies","A. Aksamija","2017","article","1","0","1","0","0","0","0","0","energy, impact","energy, design","2021cprize-01"
"Impact of Solar Radiation Modeling Strategies on Plant Growth in the Context of Urban Microclimate","S. Subramaniam; M. Kyropoulou; S. Hoffmann","2020","other","1","0","0","0","1","0","0","0","impact","model, growth, urban","2023cprize-28"
"Impact of ventilation method on residential indoor PM dispersion during dust storm events in Saudi Arabia","Amos Kalua; Soo Jeong Jo; Seyedreza Fateminasab; Sana'a Al-Rqaibat; Christoph Opitz","2019","article","1","0","1","0","0","0","0","0","impact","","2021cprize-62"
"Impacts of Climate Change on Settlements and Infrastructure in the Coastal and Marine Environments of Caribbean Small Island Developing States (SIDS)","A. Cashman; M. Nagdee","2017","chapter","1","0","0","0","0","0","0","1","climate, change, infrastructure","infrastructure, climate, change, coast","2026cprize-10"
"Imperative to Reimagine the Planet","Gayatri Spivak","2013","chapter","1","1","0","0","0","0","0","0","","planet","2020cprize-21"
"Imperial Oil: The Anatomy of a Nigerian Oil Insurgency","Michael Watts","","chapter","1","1","0","0","0","0","0","0","","oil","2020cprize-25"
"Imperial San Francisco: Urban Power, Earthly Ruin","Gray Brechin","2007","book","1","0","0","1","0","0","0","0","","urban","2022cprize-02"
"Imperialism, Orientalism and the Environment in the Middle East","Diane K. Davis","2011","chapter","1","1","0","0","0","0","0","0","environmental","","2020cprize-17"
"Implantaciones humanas y ocupación del espacio en la provincia de Loja, durante la epoca prehispánica","J. Guffroy","1986","article","1","0","0","0","0","1","0","0","","","2024cprize-03"
"Improving Daylighting in Existing Classrooms Using Laser Cut Panels","Rania Labib","2013","article","1","0","1","0","0","0","0","0","","","2021cprize-58"
"Improving Multi-Stakeholder Collaboration for a Resilient Water and Sanitation Sector in Dhaka, Bangladesh","S. S. Alam; J. Taub; A. T. M. J. Alam","2016","chapter","1","0","1","0","0","0","0","0","","water, resiliency, collaboration","2021cprize-63"
"In Comparison","Harun Farocki","2009","other","1","0","0","0","0","0","0","1","","","2026cprize-30"
"In Conversation","Olafur Eliasson; Kurt W. Foster","2010","article","1","1","0","0","0","0","0","0","","","2020cprize-20"
"In Defense of Housing: The Politics of Crisis","David Madden; Peter Marcuse","2016","book","1","0","1","0","0","0","0","0","","house, crisis","2021cprize-02"
"In Detail: Solar Architecture: Strategies, Visions, Concepts","Christian Schittich","2003","book","1","0","1","0","0","0","0","0","","architecture","2021cprize-11"
"In Houston, a Rash of Storms Tests the Limits of Coping With Climate Change","Christopher Flavelle","2019","article","1","0","1","0","0","0","0","0","climate, change","climate, change","2021cprize-29"
"In Interview on Images. Instabilities and Potentialities, Notes on the Nature of Knowledge in Digital Architecture","Dana Cupkova","","chapter","1","0","1","0","0","0","0","0","nature","digital, knowledge, architecture","2021cprize-14"
"In Search of Mycotopia","D. Bierend","2021","book","1","0","0","0","1","0","0","0","","","2023cprize-07"
"In the Cause of Architecture: Traversing Design and Making","Iain Maxwell; Dave Pigram","","article","1","0","0","0","0","1","0","0","","design, architecture","2024cprize-01"
"In the Garden of Eden","Edward L. Ochsenschlager","2004","chapter","1","1","0","0","0","0","0","0","","","2020cprize-17"
"In the Nature of Cities: Urban Political Ecology and the Politics of Urban Metabolism","N. Heynen; M. Kaika; E. Swyngedouw","2006","book","1","0","1","0","0","0","0","0","ecological, nature","ecological, urban","2021cprize-16"
"In the shade of affluence: the inequitable distribution of the urban heat island","S. Harlan; A. Brazel; D. Jenerette; N. Jones; L. Larsen; L. Prashad; W. Stefanov","2007","chapter","1","0","0","1","0","0","0","0","","heat, urban","2022cprize-05"
"In the society of nature: a native ecology in Amazonia","P. Descola","1994","book","1","0","0","0","0","1","0","0","society, ecological, nature","social, ecological","2024cprize-03"
"Inclusive Engagement: Planting the Seed for a More Diverse Future of Design","M. Mick; S. Sickler; C. Young","2022","other","1","0","0","0","0","1","0","0","future","design, future","2024cprize-34"
"Incremental change, transition or transformation? Optimising change pathways for climate adaptation in spatial planning","R. Roggema; T. Vermeend; A. Van den Dobbelsteen","2012","article","1","0","0","0","0","0","1","0","climate, change","climate, space, change","2025cprize-15"
"Incubo Atacama Lab","","2008","book","1","0","0","0","1","0","0","0","","","2023cprize-31"
"Indigenous Climate Action","","","website","1","0","1","0","0","0","0","0","climate","indigenous, climate","2021cprize-21"
"Indigenous Design Guidelines","","","report","1","0","0","0","0","0","0","1","","indigenous, design","2026cprize-19"
"Indigenous Design Pedagogies and Relational Knowledge in Architectural Education","Gabriela Baierle","2025","article","1","0","0","0","0","0","0","1","","indigenous, knowledge, design","2026cprize-38"
"Indigenous environmental justice: Anti-colonial action through kinship","Kyle Whyte","","article","1","0","0","0","0","1","0","0","environmental, justice","indigenous, justice, colonial","2024cprize-01"
"Indigenous Housing Summit","Dan Abramson; Julie Kriegh; Jacquelyn Crane","2025","other","1","0","0","0","0","0","0","1","","indigenous, house","2026cprize-50"
"Indigenous Knowledge and Sustainable Development in Africa: Case Study on Central Africa","Charles Takoyoh Eyong","2012","article","1","1","0","0","0","0","0","0","sustainable","indigenous, knowledge, sustainability","2020cprize-58"
"Indigenous Knowledge Systems and Alaska Native Ways of Knowing","R. Barnhardt; A. O. Kawagley","2005","article","1","0","1","0","0","0","0","0","systems","indigenous, system, knowledge","2021cprize-21"
"Indigenous Knowledge Systems, Poverty Alleviation, and Sustainability in Durban","M. Mtshali; T. Raniga; S.M. Khan","2014","article","1","1","0","0","0","0","0","0","systems, sustainable","indigenous, system, knowledge, sustainability","2020cprize-58"
"Indigenous Landscapes and Spanish Missions: New Perspectives from Archaeology and Ethnohistory","ed. Lee M. Panich; Tsim D. Schneider","","book","1","0","0","0","0","1","0","0","","indigenous, landscape","2024cprize-27"
"Indigenous Modernities: Negotiating Architecture and Urbanism","Jyoti Hosagrahar","2005","book","1","0","1","0","0","0","0","0","","indigenous, architecture","2021cprize-47"
"Indigenous Peoples","City of Calgary","","website","1","0","1","0","0","0","0","0","","indigenous","2021cprize-21"
"Indigenous Peoples and Climate Justice: A Critical Analysis of Human Rights Law and Governance","Giada Giacomini","2022","book","1","0","0","0","0","1","0","0","climate, critical, human, justice","human, indigenous, critical, climate, justice","2024cprize-07"
"Indigenous Science (Fiction) for the Anthropocene: Ancestry and Indigeneity in the Anthropocene","Kyle Powys Whyte","2018","article","1","0","0","0","0","0","0","1","science","science, anthropocene, indigenous","2026cprize-20"
"Individual Difference in Thermal Comfort: A Literature Review","Zhe Wang; Richard de Dear; Maohui Luo; Borong Lin; Yingdong He; Ali Ghahramani; Yingxin Zhu","2018","article","1","0","1","0","0","0","0","0","","","2021cprize-15"
"Indoor temperature exposures and health outcomes in public housing during extreme heat","A.A. Williams; et al.","2019","article","1","0","0","0","0","0","0","1","health","public, house, heat","2026cprize-02"
"Industrial Emancipation and Technocracy in the 1930s (in The Ideal of Total Environmental Control)","Suzanne Strum","","chapter","1","0","1","0","0","0","0","0","environmental","","2021cprize-18"
"Industrial Hemp","Paul Hawken","2017","chapter","1","0","0","1","0","0","0","0","","","2022cprize-21"
"Industrial Relevancy","Marjorie P. Callahan","2017","chapter","1","1","0","0","0","0","0","0","","","2020cprize-13"
"Industry 5.0 – Human-centric, sustainable and resilient","European Commission, Directorate-General for Research and Innovation","2020","report","1","0","0","0","0","1","0","0","sustainable, human","human, resiliency, sustainability","2024cprize-21"
"Industry 5.0, a transformative vision for Europe – Governing systemic transformations towards a sustainable industry","European Commission, Directorate-General for Research and Innovation; A. Renda; S. Schwaag Serger; D. Tataj","2021","report","1","0","0","0","0","1","0","0","sustainable","system, sustainability","2024cprize-21"
"Infection and the Politics of Space","Milos Kosec; Leslie Topp","2021","article","1","0","0","0","1","0","0","0","","space","2023cprize-14"
"Inflatable Formwork: Self-Erecting Pneumatic Formwork for Vertical Concrete Elements","Il Hwan Kim","2025","article","1","0","0","0","0","0","0","1","","","2026cprize-66"
"Informalizing Architecture: The Challenge of Informal Settlements","Kim Dovey","2013","article","1","0","0","1","0","0","0","0","","architecture","2022cprize-20"
"Information Fall-Out: Buckminster Fuller's World Game","Mark Wasiuta","2019","book","1","1","0","0","0","0","0","0","world","world","2020cprize-21"
"Informed Urban Environments: Data-Integrated Design for Human and Ecology-Centered Perspectives","Ata Chokhachian; Katia Perini; Michael U. Hensel","2022","book","1","0","0","0","0","1","0","0","human, ecological, data","data, human, ecological, urban, design","2024cprize-37"
"Infrastructural Optimism","L. Samuels","2009","article","1","1","0","0","0","0","0","0","infrastructure","infrastructure","2020cprize-15"
"Infrastructure and Landscape in Early-Twentieth-Century England and America","Margaret Vickery","","chapter","1","0","0","0","0","1","0","0","infrastructure","infrastructure, landscape","2024cprize-02"
"Infrastructure as Architecture: Designing Composite Networks","Scott Lloyd; Katrina Stoll","2011","book","1","0","0","0","1","0","0","0","infrastructure","infrastructure, architecture","2023cprize-09"
"Infrastructure Sustainability and Design","Spiro N. Pollalis; Andreas Georgoulias; Stephen J. Ramos; Daniel Schodek","2013","book","1","1","0","0","0","0","0","0","sustainable, infrastructure","infrastructure, sustainability, design","2020cprize-31"
"Infrastructure Time","Keller Easterling","","article","1","0","0","0","0","0","0","1","infrastructure","infrastructure","2026cprize-52"
"Infrastructure: A Guide to the Industrial Landscape","Brian Hayes","2014","book","1","1","0","0","0","0","0","0","infrastructure","infrastructure, landscape","2020cprize-31"
"Inhabiting the Desert","ADP Studio","","other","1","0","0","0","0","0","0","1","","","2026cprize-51"
"Inhabiting the Spaceship","Gokce Gunel","2016","chapter","1","1","0","0","0","0","0","0","","","2020cprize-62"
"Inheritance","Rania Ghosn; El Hadi Jazairy","2023","book","1","0","0","0","0","0","0","1","","","2026cprize-48"
"Initiation Into a Living Planet","Charles Eisenstein","","article","1","1","0","0","0","0","0","0","","planet","2020cprize-41"
"Inland from the Coast: A Multi-Scalar Approach to Regional Climate Change Responses","Louisiana State University Coastal Sustainability Studio","","report","1","0","1","0","0","0","0","0","climate, change","climate, change, coast","2021cprize-38"
"Innovation in the Context of Climate Change: What is Happening in India's Informal Economy","B. Harriss-White; G. Rodrigo","2016","chapter","1","0","1","0","0","0","0","0","climate, change, economic","economy, climate, change, innovation","2021cprize-63"
"Innovation Starvation","N. Stephenson","2011","website","1","0","0","1","0","0","0","0","","innovation","2022cprize-22"
"Innovative Houses: Concepts for Sustainable Living","Avi Friedman","2013","book","1","1","0","0","0","0","0","0","sustainable","sustainability","2020cprize-50"
"Inside new science exposing how humidity can escalate a heat wave","Kathryn Pizzurro","2026","website","1","0","0","0","0","0","0","1","science","science, heat","2026cprize-21"
"Inside Out: Extending the Library's Outdoor Space Footprint","D. Moore; M. Schwartz","","article","1","0","0","0","0","0","0","1","","space","2026cprize-53"
"Institute for Smart and Healthy Cities","E. Stach; K. Di Santis; C. Pastore","2023","other","1","0","0","0","0","0","1","0","","","2025cprize-08"
"Instruments of Environmental Control","Felicity Scott","2016","chapter","1","1","0","0","0","0","0","0","environmental","","2020cprize-24"
"Insulating North America","Kiel Moe","2012","article","1","0","0","0","1","0","0","0","","","2023cprize-17"
"Insulation","Paul Hawken","2017","chapter","1","0","0","1","0","0","0","0","","","2022cprize-21"
"Integral Sustainable Design","Mark DeKay","","book","1","1","0","0","0","0","0","0","sustainable","sustainability, design","2020cprize-08"
"Integrating Building Performance with Design: An Architecture Student's Guidebook","Elizabeth Grant","2017","book","1","0","1","0","0","0","0","0","","building, performance, design, architecture","2021cprize-19"
"Integrating Innovation in Architecture: Design, Methods and Technology for Progressive Practice and Research","A. Aksamija","2016","book","1","0","1","0","0","0","0","0","","technology, innovation, research, design, architecture","2021cprize-01"
"Integrating Migration into International Cooperation and Development","International Organization for Migration (IOM)","2022","report","1","0","0","0","1","0","0","0","","international, migration","2023cprize-40"
"Integrating Satellite and Ground Measurements for Predicting Locations of Extreme Urban Heat","V. Shandas; J. Voelkel; J. Williams; J. Hoffman","2019","article","1","0","0","1","0","0","0","0","","heat, urban","2022cprize-05"
"Integrating Technology into the Architectural Curriculum","David Lee Smith","","article","1","1","0","0","0","0","0","0","","technology","2020cprize-39"
"Integrating the SDGs in Urban Projects","UN-Habitat","2022","website","1","0","0","0","0","0","0","1","","urban","2026cprize-41"
"Integration of Technology in New Health Science Education Facilities","Michael Lauber; Nicholas Browse","2013","other","1","0","0","0","1","0","0","0","science, health","technology, science","2023cprize-40"
"Integration Possibilities in the Building Envelope","M. Probst; C. Roecker","","chapter","1","0","0","1","0","0","0","0","","building","2022cprize-07"
"Integrative Design and the Problem of Fragmented Knowledge","D. Albright; D. Franco; U. Heine; U. Ersoy","2019","article","1","0","0","0","0","0","0","1","","knowledge, design","2026cprize-60"
"Inter-disciplinarity in urban design: Erasing boundaries between architects and planners in urban design studios","S. Shetty; A. Luescher","2010","article","1","0","0","1","0","0","0","0","","urban, design","2022cprize-05"
"Inter-zonal relationships in Ecuador","F. Valdez","2008","chapter","1","0","0","0","0","1","0","0","","","2024cprize-03"
"Interaction of Barrier Islands and Storms: Implications for Flood Risk Reduction in Louisiana and Mississippi","A. S. Grzegorzewski; M. A. Cialone; T. V. Wamsley","2011","article","1","0","0","1","0","0","0","0","","risk, flood","2022cprize-06"
"Interactive Atlas of Historical Coal Mine Maps","American Geosciences Institute","","website","1","0","1","0","0","0","0","0","","","2021cprize-55"
"Interdisciplinary and Actionable Science: Exploring the Generative Potential in Difference","Bridie McGreavy; Linda Silka; Laura Lindenfeld","2014","article","1","0","1","0","0","0","0","0","science","science","2021cprize-10"
"Interdisciplinary Design, A Case Study on Students' Experience in the P3 Competition","Mansy; Bilbeisi","2008","article","1","0","1","0","0","0","0","0","experience","experience, design","2021cprize-36"
"Interior as Microcosm: Producing Epistemologies, Ethics, and Identities at Biosphere 2, 1991-1994","Meredith Sattler","2017","other","1","0","1","0","0","0","0","0","","interior, ethics","2021cprize-47"
"International Indigenous Design Charter","","","website","1","0","1","0","0","0","0","0","","indigenous, international, design","2021cprize-21"
"Internationalism or Extinction","Noam Chomsky","2020","book","1","0","1","0","0","0","0","0","","","2021cprize-17"
"Interrogating Ethnic Identity: Space and Community Building in Chicago's Chinatown","Chuo Li","2015","article","1","0","0","0","1","0","0","0","community","building, space","2023cprize-26"
"Interscalar Vehicles for an African Anthropocene: On Waste, Temporality, and Violence","Gabrielle Hecht","2018","article","1","1","0","0","0","0","0","0","","anthropocene, waste","2020cprize-49"
"Intersectionality and the Changing Face of Ecofeminism","A.E. Kings","2017","article","1","0","0","0","0","1","0","0","","","2024cprize-13"
"Interventions and Adaptive Reuse: A Decade of Responsible Practice","Liliane Wong; Markus Berger","2021","book","1","0","0","0","0","0","0","1","","adaptive, reuse","2026cprize-15"
"Interview: Pretending to Work","Bernadette Clouette; David Graeber","","article","1","1","0","0","0","0","0","0","","","2020cprize-67"
"Introduction (in Air: Nature and Culture)","Peter Adey","2014","chapter","1","0","0","0","1","0","0","0","nature","culture, air","2023cprize-14"
"Introduction (in Anthropocene Unseen: A Lexicon)","Cymene Howe; Anand Pandian","2020","chapter","1","0","0","0","1","0","0","0","","anthropocene","2023cprize-23"
"Introduction (The Ecological Thought)","Timothy Morton","2012","chapter","1","0","1","0","0","0","0","0","ecological","ecological","2021cprize-48"
"Introduction / Dirty Drawings, Dirty Models","Helene Frichot","2019","chapter","1","0","0","0","1","0","0","0","","","2023cprize-04"
"Introduction / Process","Katie Lloyd Thomas","2022","chapter","1","0","0","0","0","0","0","1","","","2026cprize-15"
"Introduction / The Detail","Curtis Roth","","website","1","0","0","0","1","0","0","0","","","2023cprize-04"
"Introduction for New Research 'The Contemporary City'","Rem Koolhaas","1996","chapter","1","0","0","0","0","0","1","0","","city, research","2025cprize-26"
"Introduction to a Critique of Urban Geography","Guy Debord","","article","1","0","0","0","1","0","0","0","","urban","2023cprize-29"
"Introduction to a Poetics of Diversity","Édouard Glissant","2020","book","1","0","0","0","0","1","0","0","","","2024cprize-42"
"Introduction to Architectural History in the Anthropocene","Daniel A. Barber","2016","article","1","1","0","0","0","0","0","0","","anthropocene, history","2020cprize-24"
"Introduction to Compressible Fluid Flow","P. H. Oosthuizen","","book","1","0","1","0","0","0","0","0","","","2021cprize-11"
"Introduction to Discard Studies","Josh Lepawsky","","chapter","1","0","0","0","0","0","0","1","","","2026cprize-15"
"Introduction to Environmental Impact Assessment: A Guide to Principles and Practices","Bram F. Noble","2014","book","1","0","0","1","0","0","0","0","environmental, impact","","2022cprize-31"
"Introduction to Machine Learning","E. Alpaydin","2004","book","1","0","0","1","0","0","0","0","","","2022cprize-25"
"Introduction to Orientalism","Edward Said","2003","chapter","1","1","0","0","0","0","0","0","","","2020cprize-17"
"Introduction, Architecture, Technology, and Politics","Daniel A. Barber","2016","chapter","1","1","0","0","0","0","0","0","","technology, architecture","2020cprize-24"
"Introduction. Critical Thinking","Timothy Morton","2010","chapter","1","1","0","0","0","0","0","0","critical","critical","2020cprize-55"
"Introduction: A Feeling for the Inert / Toward a General Economy of Architecture","Jane M. Jacobs; Stephen Cairns","2014","chapter","1","0","0","0","0","0","0","1","economic","economy, architecture","2026cprize-15"
"Introduction: Criticism in the Contact Zone (in Imperial Eyes)","Mary Louise Pratt","2008","chapter","1","0","0","0","1","0","0","0","","","2023cprize-15"
"Introduction: Globalisation, Value Chains and Development","Gary Gereffi; Raphael Kaplinsky","2001","article","1","1","0","0","0","0","0","0","","","2020cprize-46"
"Introduction: Haunted Landscapes of the Anthropocene","Anna Tsing","","chapter","1","1","0","0","0","0","0","0","","anthropocene, landscape","2020cprize-61"
