"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California","Ruth Wilson Gilmore","2007","book","","","University of California Press","","","","1","0","0","0","0","0","1","0","2025cprize-31"
"Golden Spikes and Dubious Origins","Kathryn Yusoff","2018","chapter","","","University of Minnesota Press","","A Billion Black Anthropocenes or None","","1","0","0","1","0","0","0","0","2022cprize-04"
"Good Deeds, Good Design: Community Service Through Architecture","Bryan Bell","2004","book","","","Princeton Architectural Press","","","","1","0","1","0","0","0","0","0","2021cprize-37"
"Governing Disaster in Urban Environments: Climate Change Preparation and Adaptation after Hurricane Sandy","","","book","","","","","","","1","1","0","0","0","0","0","0","2020cprize-25"
"Granby Workshop, Liverpool","Assemble","","other","","","","","","","1","1","0","0","0","0","0","0","2020cprize-60"
"Grand Canyon","Lawrence Kasdan","1991","other","Motion picture plays","","","","","","1","0","0","0","0","0","1","0","2025cprize-36"
"Grand Stand 6, Designing Stands for Trade Fairs and Events","","2018","book","","","Frame Magazine","","","","1","0","0","1","0","0","0","0","2022cprize-18"
"Grand Urban Rules","Alex Lehnerer","2013","book","City planning; Imaginary places","""Grand Urban Rules is a tribute to the city's will to form, as shown through its vast number of steering regimes. The book contains a total of 115 significant ingredients for the Grand Project of our contemporary metropolis. Not always positive but always powerful, these rules are the inverted, abstracted and extracted image of a city's actual situation. Setting standards is first and foremost a c","nai010","","","9789462080546","1","0","0","1","0","0","0","0","2022cprize-29"
"Granular Power: The Gritty Politics of Sand","Büsse, Michaela","2019","article","","","","e-flux","","","1","0","0","0","0","0","0","1","2026cprize-65"
"Graphic Anatomy I & II","Atelier Bow-Wow","","book","","","","","","","1","0","0","0","0","1","0","0","2024cprize-01"
"Gray Matters","Denise Hoffman Brandt; Catherine Seavitt Nordenson","2016","chapter","","","Terraform, Inc.","","Waterproofing New York","","1","0","0","1","0","0","0","0","2022cprize-11"
"Graying of the fleet: Perceived impacts on coastal resilience and local policy","Lori A. Cramer; Courtney Flathers; Deanna Caracciolo; Suzanne M. Russell; Flaxen Conway","2018","article","","","","Marine Policy","","","1","0","0","0","1","0","0","0","2023cprize-20"
"Great Architecture on a Small Planet","Lars Torp; Thomas Houkjær","2019","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-27"
"Greater New Orleans Urban Water Plan","Waggonner & Ball","2013","report","","","","","","","1","0","0","0","0","1","0","0","2024cprize-20"
"Greater Phoenix Heat Action Planning Guide: For Neighborhoods of Greater Phoenix","Center for Whole Communities; The Nature Conservancy","2019","report","","","","","","","1","0","0","0","0","1","0","0","2024cprize-24"
"Green Architecture","James Wines","2000","book","Architecture and energy conservation; Environmental aspects; Organic architecture; Architecture; Modern Architecture","","Taschen","","","9783822863039","1","1","0","0","0","0","0","0","2020cprize-03"
"Green Architecture for a Sustainable Future","C. Cardelus","2025","book","","","","","","","1","0","0","0","0","0","0","1","2026cprize-64"
"Green Building and Climate Resilience: Understanding Impacts and Preparing for Changing Conditions","U.S. Green Building Council (USGBC); Taubman College of Architecture and Urban Planning at the University of Michigan","2011","report","","","","","","","1","0","0","0","1","0","0","0","2023cprize-36"
"Green Building: Project Planning & Cost Estimating","RS Means Inc.","2011","book","","","RSMeans/Wiley","","","","1","0","0","1","0","0","0","0","2022cprize-31"
"Green cities, growing cities, just cities?: Urban planning and the contradictions of sustainable development","S. Campbell","1996","article","","","","Journal of the American Planning Association","","","1","0","1","0","0","0","0","0","2021cprize-62"
"Green Design: From Theory to Practice","Ken Yeang; Arthur Spector","","book","","","Black Dog Publishing","","","","1","1","0","0","0","0","0","0","2020cprize-03"
"Green Energy and Infrastructure: Securing a Sustainable Future","Jacqueline A. Stagner","2021","book","","","CRC Press","","","","1","0","0","0","1","0","0","0","2023cprize-08"
"Green Good, Better, and Best: Effective Ecological Design in Cities","Kristina Hill","","chapter","","","","","Nature, Landscape, and Building for Sustainability","","1","1","0","0","0","0","0","0","2020cprize-68"
"Green Imperialism: Colonial Expansion, Tropical Island Edens, and the Origins of Environmentalism, 1600-1860","Richard Grove","1996","book","","","Cambridge University Press","","","","1","0","1","0","0","0","0","0","2021cprize-31"
"Green Infrastructure: Incorporating Plants and Enhancing Biodiversity in Buildings and Urban Environments","J.W. Dover","2015","book","","","Routledge","","","","1","0","1","0","0","0","0","0","2021cprize-23"
"Green New Deal Resolution","","","website","","","","","","","1","1","0","0","0","0","0","0","2020cprize-42"
"Green Plastics: An Introduction to the New Science of Biodegradable Plastics","E.S. Stevens","","book","","","Princeton University Press","","","","1","0","1","0","0","0","0","0","2021cprize-41"
"Green Postcolonialism","Graham Huggan; Helen Tiffin","2007","article","","","","Interventions","","","1","1","0","0","0","0","0","0","2020cprize-17"
"Green Reconstruction: A Curricular Toolkit for the Built Environment","Reinhold Martin; Jacob R. Moore; Jordan Steingard","2021","book","","","Columbia University","","","","1","0","0","0","0","1","0","0","2024cprize-23"
"Green Roof Construction and Maintenance","K. Luckett","2009","book","","","McGraw-Hill Education","","","","1","0","1","0","0","0","0","0","2021cprize-23"
"Green Roofs and Living Walls for Landscape Architects","D. Isdm; C. Moore","2016","book","","","CreateSpace Independent Publishing Platform","","","","1","0","1","0","0","0","0","0","2021cprize-23"
"Green Social Housing at Scale: How a Federal Green Social Housing Development Authority Can Build, Repair, and Finance Homes for All","Baiocchi et al.; Climate + Community Project; Urban Democracy Lab; Socio-Spatial Climate Collaborative","2024","report","","","","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"Green Urbanism Incorporating Greenery-Based Conceptual Model towards Attaining a Sustainable Healthy Livable Environment","Meher Nigar Neema; et al.","2013","article","","","","Current Urban Studies","","","1","0","0","1","0","0","0","0","2022cprize-24"
"Green Walls Green Roofs: Designing Sustainable Architecture","G. Tsarounas","2014","book","","","Images Publishing Dist Ac.","","","","1","0","1","0","0","0","0","0","2021cprize-23"
"Greenbelts, Parks, and Permanent Furniture for the City: Recovering Ebenezer Howard and Frederick Law Olmsted for Future Cities (in The Routledge Handbook on Greening High Density Cities: Climate, Society, and Health)","P. Crosby","","chapter","","","Routledge","","","","1","0","0","0","0","1","0","0","2024cprize-32"
"Greening the City: Urban Landscapes in the Twentieth Century","Dorothée Brantz; Sonja Dümpelmann","2011","book","","","University of Virginia Press","","","","1","0","0","1","0","0","0","0","2022cprize-30"
"Gridded Lives: Why Kazakhstan and Montana Are Nearly the Same Place","Kate Brown","2001","article","","","","","","","1","0","0","0","0","0","1","0","2025cprize-01"
"Grounding the US Food Movement: Bringing Land into Food Justice","Tanya M. Kerssen; Zoe W. Brent","2017","chapter","","","U. of California Press","","The New Food Activism","","1","0","0","0","0","1","0","0","2024cprize-11"
"Grounding Urban Natures","H. Ernstson; S. Sorlin","2019","book","","","MIT Press","","","","1","1","0","0","0","0","0","0","2020cprize-58"
"Groundwater and Climate Change: Threats and Opportunities","Tibor Y. Stigter; Jodie Miller; Jianyao Chen; Viviana Re","2023","article","","","","Hydrogeology Journal","","","1","0","0","0","0","0","1","0","2025cprize-35"
"GroundWork (from Site Matters)","Robin Dripps","2004","chapter","","","","","Site Matters","","1","1","0","0","0","0","0","0","2020cprize-41"
"Grow.bio (Ecovative and Grow Bio instructions)","Ecovative","","website","","","","","","","1","0","0","0","1","0","0","0","2023cprize-24"
"Growing Architecture: How to Design and Build with Trees","Ferdinand Ludwig","2023","book","","","Birkhäuser","","","","1","0","0","0","0","0","0","1","2026cprize-56"
"Growing Cities in a Shrinking World: The Challenges in India and China","Brian McGrath","2010","book","","","","","","","1","1","0","0","0","0","0","0","2020cprize-58"
"Growing Gourmet and Medicinal Mushrooms, 3rd ed.","P. Stamets","2000","book","","","Ten Speed Press","","","","1","0","0","0","0","0","0","1","2026cprize-08"
"Growing Pains","Trace Material","2020","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-30"
"Growing Up in Cities","K. Lynch","1977","book","","","MIT Press","","","","1","0","0","0","1","0","0","0","2023cprize-18"
"Growth: Corporate Atriums and the Cultivation of Urban Nature","David Gissen","2013","chapter","","","University of Minnesota Press","","Manhattan Atmospheres: Architecture, the Interior Environment, and Urban Crisis","","1","0","0","1","0","0","0","0","2022cprize-30"
"Guastavino vaulting: the art of structural tile","J. Ochsendorf","2010","book","","","Princeton Architectural Press","","","","1","0","0","0","0","0","1","0","2025cprize-13"
"Guerrillas","V. S. Naipaul","2011","book","Fiction; Political violence; Fiction in English; Near and far eastern fiction (fictional works by one author)","""Set on a troubled Caribbean island – where Asians, Africans, Americans and former British colonials co-exist in a state of suppressed hysteria – Guerrillas is a novel of colonialism and revolution. A white man arrives with his mistress, an Englishwoman influenced by fantasies of native power and sexuality, unaware of the consequences of her actions. Together with a leader of the ‘revolution’, the","Picador","","","9780140043235","1","1","0","0","0","0","0","0","2020cprize-61"
"Guide to Developing Resilience Hubs","K. Baja","2019","report","","","Urban Sustainability Directors Network","","","","1","0","0","0","0","0","0","1","2026cprize-12"
"Guides for Equitable Practice","AIA","2018","report","","","University of Minnesota","","","","1","0","1","0","0","0","0","0","2021cprize-36"
"Gullah roots","B. Newman; X. Blake","2006","film","","","","","","","1","0","0","1","0","0","0","0","2022cprize-06"
"Gully Boy","Zoya Akhtar","2019","other","","","","","","","1","0","0","0","0","0","0","1","2026cprize-31"
"Gun Island","Amitav Ghosh","2019","book","Fiction, psychological; New York Times reviewed; Emigration and immigration; Fiction; Climatic changes","*Bundook*. Gun. A common word, but one which turns Deen Datta's world upside down. A dealer of rare books, Deen is used to a quiet life spent indoors, but as his once-solid beliefs begin to shift, he is forced to set out on an extraordinary journey; one that takes him from India to Los Angeles and Venice via a tangled route through the memories and experiences of those he meets along the way. T","Farrar, Straus and Giroux","","","9780374719418","1","0","0","0","1","0","0","0","2023cprize-23"
"H. Res. 109: Recognizing the Duty of the Federal Government to Create a Green New Deal","Alexandria Ocasio-Cortez; et al.","2019","report","","","","","","","1","0","0","1","0","0","0","0","2022cprize-26"
"H.R. 1572: Botanical Sciences and Native Plants Materials Research, Restoration, and Promotion Act","116th Congress","2019","report","","","","","","","1","1","0","0","0","0","0","0","2020cprize-12"
"H.R. 5376: Build Back Better Act","","","report","","","117th U.S. Congress","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"H.R. 6318: Public Housing for the 21st Century Act of 2023","","2023","report","","","118th U.S. Congress","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"H.R. 7191: Homes for All Act of 2021","","2021","report","","","117th U.S. Congress","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"H.R. 7782: Green New Deal for Public Housing","","","report","","","118th U.S. Congress","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"H.Res. 319: Recognizing the Duty of the Federal Government","","","report","","","118th U.S. Congress","","","","1","0","0","0","0","0","1","0","2025cprize-28"
"Habitation dans les pays tropicaux et sub-tropicaux: XVI Congrès international de l'habitation et de l'urbanisme; Mexico 1938","Paula Schäfer (ed.)","1938","book","","","International Federation for Housing and Town Planning","","","","1","1","0","0","0","0","0","0","2020cprize-05"
"Haiti, History and the Gods","Joan Dayan","1998","book","Civilization; History; Nationalism; Philosophy; Religion","","University of California Press","","","9780520920965","1","1","0","0","0","0","0","0","2020cprize-61"
"Hall of Mirrors: Psychoanalysis and the Love of Arabic","Nadia Bou Ali","2020","book","","","Edinburgh University Press","","","","1","0","0","0","1","0","0","0","2023cprize-03"
"Hallucinations","Ronald K. Siegel","1977","article","","","","Scientific American","","","1","0","0","0","1","0","0","0","2023cprize-23"
"Hand Grip","Tim Mara","1979","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"Hands-on Engineering: Learning by Doing in the Integrated Teaching and Learning Program","Lawrence; Sullivan; Franklin","1999","article","","","","International Journal of Engineering Education","","","1","1","0","0","0","0","0","0","2020cprize-39"
"Haptic Routes: View Painting and Garden Narratives","Giuliana Bruno","","chapter","","","","","Atlas of Emotion","","1","0","0","0","0","1","0","0","2024cprize-05"
"Harnessing Nature: Wind, Hydro, Wave, Tidal, and Geothermal Energy (in Understanding the Global Energy Crisis)","Eugene D. Coyle; Biswajit Basu; Jonathan Blackledge; William Grimson","2014","chapter","","","Purdue University Press","","","","1","0","0","0","1","0","0","0","2023cprize-17"
"Harvard University Herbaria","","","website","","","","","","","1","1","0","0","0","0","0","0","2020cprize-12"
"Harvest of the Cold Months: A Social History of Ice and Ices","Elizabeth David","1994","book","","","Penguin","","","","1","0","1","0","0","0","0","0","2021cprize-60"
"Hat for Bottled Water","Allan Wexler","1994","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"Haunted Geologies: Spirits, Stones, and the Necropolitics of the Anthropocene","Nils Bubandt","2017","chapter","","","University of Minnesota Press","","Arts of Living on a Damaged Planet","","1","0","0","0","0","1","0","0","2024cprize-02"
"Haunted Landscapes of the Anthropocene","Nils Bubandt","","chapter","","","University Of Minnesota Press","","Arts of Living on a Damaged Planet: Ghosts and Monsters of the Anthropocene","","1","0","0","1","0","0","0","0","2022cprize-14"
"Hawaiian Culture and Its Foundation in Sustainability","Scott Fisher","2018","chapter","","","University of Hawai'i Press","","","","1","0","1","0","0","0","0","0","2021cprize-35"
"Hawaiʻi Sea Level Rise Vulnerability and Adaptation Report","Hawaiʻi Climate Change Mitigation and Adaptation Commission","2022","report","","","State of Hawaiʻi Department of Land and Natural Resources","","","","1","0","0","0","0","0","0","1","2026cprize-27"
"Hazards and incarceration facilities: evaluating facility-level exposure to floods, wildfires, extreme heat, and landslides in Colorado","Sara Christina Glade; Caleb Schmitz; Shawhin Roudbari; Abbie Liel; Shideh Dashti; Shelly Miller","2023","article","","","","Natural Hazards Review","","","1","0","0","0","0","0","1","0","2025cprize-31"
"Healing of Patients with Nature's Positivity and Social Distraction","Nea Maloo","2018","other","","","","","","","1","0","1","0","0","0","0","0","2021cprize-50"
"Health and Community Design: The Impact of the Built Environment on Physical Activity","L. Frank; P. Engelke; T. Schmid","2003","book","","","Island Press","","","","1","0","1","0","0","0","0","0","2021cprize-22"
"Health Impacts of Climate Change in the Calumet Industrial Corridor","Alliance for the Great Lakes","","report","","","","Calumet Connect","","","1","0","0","0","0","1","0","0","2024cprize-38"
"Healthy Building Network","","","website","","","","","","","1","1","0","0","0","0","0","0","2020cprize-69"
"Healthy Buildings: How Indoor Spaces Drive Performance and Productivity","J.G. Allen; J.D. Macomber","2020","book","","","Harvard University Press","","","","1","0","1","0","0","0","0","0","2021cprize-45"
"Heat (in Anthropocene Unseen: A Lexicon)","Alex Nading","2020","chapter","","","Punctum Books","","","","1","0","0","0","1","0","0","0","2023cprize-23"
"Heat Budget of the Earth's Surface","R. Geiger","1971","chapter","","","","","The Climate near the Ground","","1","1","0","0","0","0","0","0","2020cprize-09"
"Heat Death (in The Uninhabitable Earth)","David Wallace-Wells","2019","book","","","Tim Duggan Books","","","","1","0","0","0","0","1","0","0","2024cprize-24"
"Heat Equity Mapping","heat.gov","","website","","","","","","","1","0","0","0","0","0","0","1","2026cprize-13"
"Heat mitigation and management in Allentown, Pennsylvania: A case study of a mid-sized Northeastern city in a heat wave risk area","K. Beck Pooley","2025","article","","","","Journal of Urban Affairs","","","1","0","0","0","0","0","0","1","2026cprize-36"
"Heat Transfer in Facade Systems and Energy Use: Comparative Study of Different Exterior Wall Types","A. Aksamija; T. Peters","2016","article","","","","Journal of Architectural Engineering","","","1","0","1","0","0","0","0","0","2021cprize-01"
"Heatwave-induced human health risk assessment in megacities based on heat stress-social vulnerability-human exposure framework","J. Dong; J. Peng; X. He; J. Corcoran; S. Qiu; X. Wang","2020","article","","","","Landscape and Urban Planning","","","1","0","0","0","1","0","0","0","2023cprize-35"
"Heavy Waters: Waste and Atlantic Modernity","Elizabeth DeLoughrey","","article","","","","PMLA 125.3","","","1","0","0","0","0","0","0","1","2026cprize-48"
"Hell on a Hill: Un/Building the Coal-to-Prison Pipeline (in Technical Lands: A Critical Primer)","Billy Fleming; Al McCullough","2023","chapter","","","","","","","1","0","0","0","0","1","0","0","2024cprize-31"
"Here is Tijuana","Fiamma Montezemolo; Heriberto Yepez","2006","book","Pictorial works; Social conditions; Mexico, social conditions; Mexico, description and travel","A compendium to Tijuana, on the border of Mexico and the USA, and site of fluctuating population, mixed identities, interests, and negotiations. This book looks to the history of the city, and to its future; to its dark side, and to the possibilities it offers, through a range of texts, and photographic records.","Black Dog Publishing","","","9781904772453","1","0","1","0","0","0","0","0","2021cprize-04"
"Here's The Best Place To Move If You're Worried About Climate Change","Maggie Koerth","2019","article","","","","FiveThirtyEight","","","1","1","0","0","0","0","0","0","2020cprize-66"
"Heroic: Concrete Architecture and the New Boston","Michael Kubo","2015","book","Buildings, structures; History; Brutalism (Architecture); Concrete construction; Architecture","","The Monacelli Press","","","9781580934244","1","0","1","0","0","0","0","0","2021cprize-43"
"Hidden Density in Single-Family Neighborhoods: Backyard Cottages as an Equitable Smart Growth Strategy","Jake Wegmann; Karen Chapple","2014","article","","","","Journal of Urbanism","","","1","0","1","0","0","0","0","0","2021cprize-33"
"Hidden Hands and Divided Landscapes: A Penal History of Singapore's Plural Society","Anoma Pieris","2009","book","","","University of Hawai'i Press","","","","1","0","1","0","0","0","0","0","2021cprize-31"
"Hierarchical Quantification of Utilization Rate and Related Indicators of Mixed-Use High-Rise Buildings","Y. Xie; P. Du; J. Luo","2022","article","","","","Buildings","","","1","0","0","0","1","0","0","0","2023cprize-35"
"High Living (in A+ Awards 2016)","J. Song","2016","chapter","","","Phaidon","","","","1","0","0","0","1","0","0","0","2023cprize-19"
"High Tides Cause Flooding in Miami Beach","Jamie Guirola","2015","article","","","","NBC South Florida","","","1","0","0","1","0","0","0","0","2022cprize-16"
"High-Performance Carbon Neutral Building Design (2030 Palette)","Architecture 2030","","website","","","","","","","1","0","1","0","0","0","0","0","2021cprize-40"
"Highland Beach, Maryland (1893- )","E. Partin","2011","website","","","BlackPast","","","","1","0","0","1","0","0","0","0","2022cprize-23"
"Histoire mondiale de l'architecture et de l'urbanism modernes: prospective et futurologie","Michel Ragon","1986","book","","","Casterman","","","","1","1","0","0","0","0","0","0","2020cprize-05"
"Historia de las Exploraciones Geográficas","Mauro Giaconi","2015","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"Historic Properties Viewer and Database","City of Miami Beach","","website","","","","","","","1","1","0","0","0","0","0","0","2020cprize-18"
"Historic Vulnerability Locations and Risk Assessment","Pennsylvania DOT","2019","website","","","","","","","1","0","1","0","0","0","0","0","2021cprize-60"
"Historical Ecology: Integrated Thinking at Multiple Temporal and Spatial Scales","C. Crumley","2006","chapter","","","","","The World System and the Earth System","","1","1","0","0","0","0","0","0","2020cprize-09"
"Histories of Architecture Education in the United States","Peter Laurence","2023","book","","","Routledge","","","9781032223148","1","0","0","0","0","0","0","1","2026cprize-46"
"Histories of Scientific Observation","Lorraine Daston","2011","book","Science; Observation (Scientific method); Methodology; History; Science, history","","University of Chicago Press","","","9780226136776","1","1","0","0","0","0","0","0","2020cprize-12"
"History, Fable and Myth in the Caribbean and Guianas","Wilson Harris","","chapter","","","Routledge","","Selected Essays of Wilson Harris: The Unfinished Genesis of the Imagination","","1","1","0","0","0","0","0","0","2020cprize-61"
"Hold This Site","C.L. Ho","2010","article","","","","Architect","","","1","0","0","1","0","0","0","0","2022cprize-13"
"Holding Change: The Way of Emergent Strategy Facilitation and Healing","adrienne maree brown","2021","book","","","","","","","1","0","0","0","0","0","1","0","2025cprize-31"
"Holding Water in Times of Hydrophobia","Janine MacLeod","","chapter","","","","","Petrocultures: Oil, Politics, Culture","","1","1","0","0","0","0","0","0","2020cprize-25"
"Holistic Education for a Resilient Future: An Integrated Biomimetic Approach for Architectural Pedagogy","Lina Badarnah","2025","article","","","","Frontiers in Sustainability","","","1","0","0","0","0","0","0","1","2026cprize-38"
"Holy Ground: Mud, Materiality, and Meaning in the Djenne Mosque","Michelle Apotsos","2012","article","","","","Rutgers Art Review","","","1","1","0","0","0","0","0","0","2020cprize-03"
"Home and Beyond: Generative Phenomenology After Husserl","Anthony J. Steinbock","1995","book","","","Northwestern University Press","","","","1","1","0","0","0","0","0","0","2020cprize-61"
"Home builder's guide to coastal construction: Technical fact sheet series (FEMA P-499)","Federal Emergency Management Agency","2010","report","","","Federal Emergency Management Agency","","","","1","0","0","0","0","0","0","1","2026cprize-27"
"Home gardens: Neglected hotspots of agro-biodiversity and cultural diversity","G. Galluzzi; P. Eyzaguirre; V. Negri","2010","article","","","","Biodiversity and Conservation","","","1","0","0","0","1","0","0","0","2023cprize-21"
"Home Within Home Within Home Within Home Within Home","Do Ho Suh","2014","other","","","","","","","1","1","0","0","0","0","0","0","2020cprize-33"
"Homes for Cyborgs","Anthony Vidler","1992","chapter","","","MIT Press","","The Architectural Uncanny: Essays in the Modern Unhomely","","1","0","0","1","0","0","0","0","2022cprize-27"
"Homo Faber","Sarah Robinson","","book","","","","","","","1","0","0","0","0","0","0","1","2026cprize-35"
"Homo Sapiens","Nikolaus Geyrhalter (director)","2016","other","","","NFG Productions","","","","1","0","0","0","1","0","0","0","2023cprize-12"
"Honiara Urban Resilience & Climate Action Plan","A. Trundle; D. McEvoy","2016","report","","","","","","","1","0","0","0","1","0","0","0","2023cprize-28"
"Honouring the Truth, Reconciling the Future: Summary of the Final Report of the Truth and Reconciliation Commission of Canada","Truth and Reconciliation Commission of Canada","2015","report","","","Library and Archives Canada","","","","1","0","1","0","0","0","0","0","2021cprize-21"
"Hope in the Dark: Untold Histories, Wild Possibilities","Rebecca Solnit","2016","book","","","Haymarket Books","","","","1","1","0","0","0","0","0","0","2020cprize-12"
"Horst Festival","Assemble","2016","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"Hot Air Rising","Mae-Ling Lokko","2022","article","","","","e-flux","","","1","0","0","0","1","0","0","0","2023cprize-14"
"House Form and Culture","Amos Rapoport","1969","book","Domestic Architecture; Dwellings; Housing; Architecture; Constructies","","Prentice Hall","","","9780133956818","1","1","0","0","0","0","0","0","2020cprize-05"
"House of the Century","Ant Farm","1973","other","","","","","","","1","0","0","1","0","0","0","0","2022cprize-28"
"House of the Future","Shannon Starkey","2015","book","","","A+U: Architecture + Urbanism","","","","1","1","0","0","0","0","0","0","2020cprize-43"
"House precinct territory: Design Strategies for the productive city","Yim Luna; et al.","2023","book","","","ORO Editions","","","","1","0","0","0","0","0","1","0","2025cprize-26"
"Houses for Aging Socially","","","report","","","","","","","1","1","0","0","0","0","0","0","2020cprize-26"
"Housing + Single Family Housing","Manuel Gausa","2002","book","Architect-designed houses; Architecture; Modern Architecture; History; Houses, apartments, flats, etc","","Birkhauser","","","9780817658717","1","0","1","0","0","0","0","0","2021cprize-15"
"Housing after the Neoliberal Turn","Stefan Aue","","book","","","Spector Books","","","","1","0","1","0","0","0","0","0","2021cprize-02"
"Housing as Battleground: Targeting the City in the Battles of Algiers","Sheila Crane","2017","article","","","","City & Society","","","1","1","0","0","0","0","0","0","2020cprize-17"
"Housing as Intervention: Architecture Towards Social Equity","Karen Kubey","2018","book","","","Wiley","","","","1","0","1","0","0","0","0","0","2021cprize-36"
"Housing Demand and Affordability of Riga 21st Century Apartment Complexes","Santa Freimane","2017","article","","","","Architecture and Urban Planning","","","1","1","0","0","0","0","0","0","2020cprize-23"
"Housing Needs and Preferences Survey","","2022","report","","","","","","","1","0","0","0","0","0","0","1","2026cprize-50"
"Housing: New Alternatives – New Systems","Manuel Gausa","1998","book","","","","","","","1","0","0","1","0","0","0","0","2022cprize-07"
"Houston Genetic City","Matthew Johnson","","book","Architecture; City planning; Urbanization; Zoning; Description and travel","No city in the United States is a synonymous with unbridled growth and land speculation as the sprawling Texas city of Houston. The book offers a vision for a future Houston as a global city, beyond its current petro-economy, its laissez-faire land speculation, and its notorious sprawl. It speculates about new forms of urbanism that offer resiliency against our changing climate as well as new mode","Actar Publishers","","","9781638409250","1","0","1","0","0","0","0","0","2021cprize-43"
"Houston Mastaba – Stacked Oil Drums (Project for Houston-Galveston Area Texas)","Christo; Jeanne-Claude","1969","other","","","","","","","1","0","0","0","0","0","1","0","2025cprize-06"
"How Anthropogenic Climate Change Exacerbates Vulnerability in Prison Communities: A Critical Environmental Justice Analysis","J. Veit","2018","report","","","Humboldt State University","","","","1","0","0","0","0","0","1","0","2025cprize-31"
"How Architects Write","Rebecca Damron","2013","book","Authorship; Architectural writing; LANGUAGE ARTS & DISCIPLINES; Composition & Creative Writing; Rhetoric","","Routledge Press","","","9781138947276","1","1","0","0","0","0","0","0","2020cprize-07"
"How Architectural Innovations Migrate Across the Borders","T. Cruz","2013","website","","","TED","","","","1","0","0","1","0","0","0","0","2022cprize-23"
"How Blackouts during Heat Waves Amplify Mortality and Morbidity Risk","Brian Stone Jr.; et al.","2023","article","","","","Environmental Science & Technology","","","1","0","0","0","0","1","0","0","2024cprize-24"
"How Cities Think: Knowledge Co-Production for Urban Sustainability and Resilience","Tischa Munoz-Erickson; Clark A. Miller; Thaddeus R. Miller","2017","article","","","","Forests","","","1","1","0","0","0","0","0","0","2020cprize-58"
"How Civil Rights Wade-Ins Desegregated Southern Beaches","E. Blakemore","2019","website","","","History.com","","","","1","0","0","1","0","0","0","0","2022cprize-23"
"How does urbanization affect biodiversity?","Sam Hardman","2011","article","","","","Ecologia","","","1","1","0","0","0","0","0","0","2020cprize-58"
"How Fair Is Our Air? The Injustice of Procedure, Distribution, and Recognition within the Discourse of Air Pollution in Delhi, India","Bhavna Joshi; Pradip Swarnakar","","article","","","","Environmental Sociology","","","1","0","0","0","0","0","1","0","2025cprize-35"
"How Great Architecture Still Was in 1966 (Superstudio and Radical Architecture, Ten Years On) (in Exit Utopia)","Adolfo Natalini","2005","chapter","","","Prestel Pub","","","","1","0","1","0","0","0","0","0","2021cprize-18"
"How Humans Sank New Orleans","Richard Campanella","2018","article","","","","The Atlantic","","","1","1","0","0","0","0","0","0","2020cprize-36"
"How Like a Reef: Figuring Coral, 1839–2010","Stefan Helmreich","","chapter","","","Princeton University Press","","Sounding the Limits of Life: Essays in the Anthropology of Biology and Beyond","","1","0","0","0","0","0","0","1","2026cprize-48"
"How Neighborhoods Make Us Sick: Restoring Health and Wellness to Our Communities","Veronica Squires; Breanna Lathrop","","book","","","","","","","1","0","1","0","0","0","0","0","2021cprize-50"
"How new is the Green New Deal for the Global South","Vijay Kolinjivadi; Ashish Kothari","","article","","","","","","","1","0","1","0","0","0","0","0","2021cprize-02"
"How Redlining Segregated Philadelphia","Next City","2017","article","","","","","","","1","0","1","0","0","0","0","0","2021cprize-27"
"How to Be a Good Creature","S. Montgomery","2018","book","","","","","","","1","0","0","0","0","1","0","0","2024cprize-41"
"How to Build a City, Roman Operating System","Amale Andraos","2000","chapter","","","Actar","","Mutations","","1","1","0","0","0","0","0","0","2020cprize-54"
"How to define (net) zero greenhouse gas emissions buildings: The results of an international survey as part of IEA EBC annex 72","D. Satola; M. Balouktsi; T. Lützkendorf; A. Houlihan Wiberg; A. Gustavsen","2021","article","","","","Building and Environment","","","1","0","0","0","0","0","0","1","2026cprize-12"
"How to Do Things with Space: Expanded Architecture and Nongovernmental Politics: An Interview with Laura Kurgan","Yates McKee","2012","article","","","","","","","1","0","0","0","1","0","0","0","2023cprize-29"
"How to Hide an Empire: Geography, Territory, and Power in the Greater United States","D. Immerwahr","2019","book","","","","","","","1","0","0","0","1","0","0","0","2023cprize-34"
"How to Level a Foundation","","2017","book","","","","","","","1","0","0","1","0","0","0","0","2022cprize-10"
